path,description,fontFamily,fontSize,fontWeight,lineHeight,letterSpacing,extensions
typography.heading.display.$root,"Display heading for hero sections and major page titles (84px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.950},{typography.weight.extraLight},{number.lineHeight.950},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.display.bold,"Bold variant of display heading for additional emphasis (84px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/heading/display/$root/$value/fontFamily},{$ref:#/typography/heading/display/$root/$value/fontSize},{typography.weight.regular},{$ref:#/typography/heading/display/$root/$value/lineHeight},{$ref:#/typography/heading/display/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/display/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/display/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
