path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.palette.green.20,Primitive green shade 20,oklch,0.9789,0.0101,145.5,1,#F4FAF4,
color.palette.green.40,Primitive green shade 40,oklch,0.9586,0.0247,143.5,1,#E8F6E7,
color.palette.green.100,Primitive green shade 100,oklch,0.8983,0.0804,143.81,1,#BEECBC,
color.palette.green.180,Primitive green shade 180,oklch,0.8235,0.1488,143.84,1,#86DE85,
color.palette.green.280,Primitive green shade 280,oklch,0.735,0.1708,143.94,1,#5CC45E,
color.palette.green.398,Primitive green shade 398,oklch,0.6405,0.1743,144.01,1,#38a63e,
color.palette.green.520,Primitive green shade 520,oklch,0.551,0.1575,144.01,1,#25882C,
color.palette.green.590,Primitive green shade 590,oklch,0.5,0.1355,143.96,1,#26762A,
color.palette.green.700,Primitive green shade 700,oklch,0.4222,0.0981,143.94,1,#275B28,
color.palette.green.820,Primitive green shade 820,oklch,0.3331,0.0672,144.49,1,#1E3F1F,
color.palette.green.930,Primitive green shade 930,oklch,0.228,0.0373,144.23,1,#112111,
color.palette.green.960,Primitive green shade 960,oklch,0.189,0.0295,144.3,1,#0B170B,
color.palette.green.990,Primitive green shade 990,oklch,0.1194,0.0171,144.41,1,#030703,
color.palette.red.20,Primitive red shade 20,oklch,0.9797,0.0055,31.05,1,#FCF7F6,
color.palette.red.40,Primitive red shade 40,oklch,0.9583,0.0131,23.19,1,#FAEEED,
color.palette.red.100,Primitive red shade 100,oklch,0.8976,0.0384,23.87,1,#F6D4D1,
color.palette.red.180,Primitive red shade 180,oklch,0.8227,0.0804,23.7,1,#F5B1AC,
color.palette.red.280,Primitive red shade 280,oklch,0.736,0.144,24.23,1,#F7827C,
color.palette.red.398,Primitive red shade 398,oklch,0.6418,0.2184,24.11,1,#f53e45,
color.palette.red.520,Primitive red shade 520,oklch,0.5488,0.2107,23.83,1,#D0192D,
color.palette.red.590,Primitive red shade 590,oklch,0.4993,0.1883,23.79,1,#B61928,
color.palette.red.700,Primitive red shade 700,oklch,0.4223,0.1451,23.93,1,#8C1E23,
color.palette.red.820,Primitive red shade 820,oklch,0.3335,0.0953,24.66,1,#5E1D1C,
color.palette.red.930,Primitive red shade 930,oklch,0.2283,0.0493,23.67,1,#301211,
color.palette.red.960,Primitive red shade 960,oklch,0.187,0.0364,23.99,1,#210C0B,
color.palette.red.990,Primitive red shade 990,oklch,0.1218,0.019,31.68,1,#0C0403,
color.palette.aubergine.20,Primitive aubergine shade 20,oklch,0.979,0.0041,337.35,1,#FAF7F9,
color.palette.aubergine.40,Primitive aubergine shade 40,oklch,0.959,0.01,335.48,1,#F6EFF4,
color.palette.aubergine.100,Primitive aubergine shade 100,oklch,0.8979,0.0314,333.98,1,#EBD6E6,
color.palette.aubergine.180,Primitive aubergine shade 180,oklch,0.8239,0.065,335.39,1,#E1B6D6,
color.palette.aubergine.280,Primitive aubergine shade 280,oklch,0.735,0.1149,334.98,1,#D68DC6,
color.palette.aubergine.398,Primitive aubergine shade 398,oklch,0.64,0.1559,335.15,1,#C463B1,
color.palette.aubergine.520,Primitive aubergine shade 520,oklch,0.549,0.1568,334.95,1,#A64795,
color.palette.aubergine.590,Primitive aubergine shade 590,oklch,0.499,0.1437,334.86,1,#923D83,
color.palette.aubergine.700,Primitive aubergine shade 700,oklch,0.4217,0.1151,335.03,1,#723166,
color.palette.aubergine.820,Primitive aubergine shade 820,oklch,0.3314,0.0761,335.14,1,#4D2545,
color.palette.aubergine.930,Primitive aubergine shade 930,oklch,0.2284,0.0401,334.87,1,#281524,
color.palette.aubergine.960,Primitive aubergine shade 960,oklch,0.2264,0,0,1,#1C1C1C,
color.palette.aubergine.990,Primitive aubergine shade 990,oklch,0.1196,0.0169,332.62,1,#090408,
color.palette.yellow.20,Primitive yellow shade 20,oklch,0.9789,0.0076,61.45,1,#FCF7F3,
color.palette.yellow.40,Primitive yellow shade 40,oklch,0.9575,0.0162,64.67,1,#F9EFE6,
color.palette.yellow.100,Primitive yellow shade 100,oklch,0.8983,0.0486,67.14,1,#F4D8BC,
color.palette.yellow.180,Primitive yellow shade 180,oklch,0.8224,0.1027,66.99,1,#F2B87B,
color.palette.yellow.280,Primitive yellow shade 280,oklch,0.735,0.1441,66.74,1,#E59533,
color.palette.yellow.398,Primitive yellow shade 398,oklch,0.6406,0.1384,67.1,1,#c3790d,
color.palette.yellow.520,Primitive yellow shade 520,oklch,0.5492,0.1199,66.86,1,#9F6105,
color.palette.yellow.590,Primitive yellow shade 590,oklch,0.4994,0.1081,67.44,1,#8B5505,
color.palette.yellow.700,Primitive yellow shade 700,oklch,0.4226,0.0882,67.69,1,#6D4309,
color.palette.yellow.820,Primitive yellow shade 820,oklch,0.3323,0.0623,67.4,1,#4B2F0D,
color.palette.yellow.930,Primitive yellow shade 930,oklch,0.2287,0.0359,66.12,1,#281909,
color.palette.yellow.960,Primitive yellow shade 960,oklch,0.1892,0.0277,66.26,1,#1C1106,
color.palette.yellow.990,Primitive yellow shade 990,oklch,0.1203,0.015,69.35,1,#090502,
